,program,input_size,real_time,cpu_time,energy,cycles,instructions
206,sobel_openmp,8192,0.46603,3.67573,10.30747,14765881036.000000,18334389216.000000
207,sobel_openmp,8192,0.37797,3.00435,13.62912,14657903900.000000,18346203996.000000
208,sobel_openmp,8192,0.37339,2.97596,13.6152,14601446415.000000,18335951113.000000
209,sobel_openmp,8192,0.45351,3.61401,10.08554,14638498367.000000,18342507621.000000
210,sobel_openmp,8192,0.45273,3.60921,9.97208,14594237607.000000,18338594824.000000
211,sobel_openmp,8192,0.37433,2.98182,13.62924,14643247732.000000,18336798887.000000
212,sobel_openmp,8192,0.46557,3.67218,10.30033,14768236087.000000,18348783018.000000
213,sobel_openmp,8192,0.42899,3.36521,11.94504,14747918115.000000,18346439176.000000
214,sobel_openmp,8192,0.45381,3.61641,10.00382,14621050363.000000,18343601448.000000
215,sobel_openmp,8192,0.37481,2.98362,13.59372,14616218018.000000,18339554059.000000
216,sobel_openmp,8192,0.37327,2.97297,13.56924,14621919648.000000,18338456567.000000
217,sobel_openmp,8192,0.45295,3.61112,10.01536,14602902652.000000,18336961926.000000
218,sobel_openmp,8192,0.45303,3.61491,9.98777,14606112071.000000,18340548813.000000
219,sobel_openmp,8192,0.3849,3.03621,14.00106,14776712543.000000,18348331816.000000
220,sobel_openmp,16384,1.69306,13.45768,46.82831,57585946363.000000,73374285747.000000
221,sobel_openmp,16384,1.75677,14.01589,43.57472,59034988289.000000,73375144804.000000
222,sobel_openmp,16384,1.79464,14.25106,42.42189,57437252718.000000,73382122162.000000
223,sobel_openmp,16384,1.64517,13.10609,48.94751,57527013137.000000,73376772921.000000
224,sobel_openmp,16384,1.66831,13.25108,48.30951,57485296539.000000,73375393760.000000
225,sobel_openmp,16384,1.72128,13.7336,45.13703,57461156321.000000,73376858199.000000
226,sobel_openmp,16384,1.72869,13.75446,45.43433,57513341649.000000,73376044386.000000
227,sobel_openmp,16384,1.76008,13.99675,44.1985,57614906973.000000,73380842898.000000
228,sobel_openmp,16384,1.79127,14.2464,42.49305,57550126013.000000,73384890667.000000
229,sobel_openmp,16384,1.70282,13.58432,45.90381,57406105314.000000,73370009578.000000
230,sobel_openmp,16384,1.55718,12.38626,52.78197,57470191166.000000,73374176615.000000
231,sobel_openmp,16384,1.68438,13.39432,47.38263,57587805540.000000,73383519611.000000
232,sobel_openmp,16384,1.69834,13.51388,46.78845,57455265830.000000,73374003970.000000
233,sobel_openmp,16384,1.76209,14.01932,43.6667,57516781669.000000,73382432098.000000
234,sobel_openmp,16384,1.60649,12.77495,50.742,57488367143.000000,73376384618.000000
235,sobel_openmp,16384,1.82248,14.49721,41.01039,57500079811.000000,73381782145.000000
236,sobel_openmp,16384,1.6995,13.51425,46.67487,57435465810.000000,73377762731.000000
237,sobel_openmp,16384,1.78133,14.16784,42.69795,57509518333.000000,73378939839.000000
238,sobel_openmp,16384,1.64995,13.16536,48.08319,57384177666.000000,73372812257.000000
239,sobel_openmp,16384,1.82052,14.48175,40.85927,57465966570.000000,73382120846.000000
240,sobel_simd,512,0.00181,0.0018,0.02887,26821515.000000,32251148.000000
241,sobel_simd,512,0.00176,0.00176,0.02093,27076073.000000,32175627.000000
242,sobel_simd,512,0.00174,0.00174,0.01807,25584870.000000,32132270.000000
243,sobel_simd,512,0.00176,0.00176,0.01672,24205342.000000,32196939.000000
244,sobel_simd,512,0.00175,0.00174,0.01666,24136693.000000,32171983.000000
245,sobel_simd,512,0.00174,0.00174,0.01599,25209367.000000,32175088.000000
246,sobel_simd,512,0.00175,0.00174,0.01611,25655465.000000,32145950.000000
247,sobel_simd,512,0.00173,0.00173,0.01544,25577294.000000,32101255.000000
248,sobel_simd,512,0.00174,0.00174,0.01831,24116175.000000,32150482.000000
249,sobel_simd,512,0.00174,0.00173,0.01752,28810850.000000,32123739.000000
250,sobel_simd,512,0.00174,0.00174,0.01709,24136577.000000,32196104.000000
251,sobel_simd,512,0.00175,0.00174,0.01611,25233023.000000,32207099.000000
252,sobel_simd,512,0.00174,0.00174,0.01654,24641623.000000,32182161.000000
253,sobel_simd,512,0.00174,0.00173,0.01605,25057669.000000,32156145.000000
254,sobel_simd,512,0.00175,0.00175,0.01636,26321380.000000,32202725.000000
255,sobel_simd,512,0.00174,0.00174,0.00824,24499060.000000,32122436.000000
256,sobel_simd,512,0.00174,0.00174,0.0238,24552367.000000,32163621.000000
257,sobel_simd,512,0.00174,0.00174,0.01813,24021004.000000,32143151.000000
258,sobel_simd,512,0.00176,0.00176,0.01794,25253218.000000,32185234.000000
259,sobel_simd,512,0.00174,0.00173,0.0177,24100455.000000,32178325.000000
260,sobel_simd,1024,0.0072,0.00715,0.0733,94553880.000000,119822165.000000
261,sobel_simd,1024,0.00683,0.00682,0.06104,86912331.000000,118741557.000000
262,sobel_simd,1024,0.00687,0.00686,0.05902,87044248.000000,118737681.000000
263,sobel_simd,1024,0.00682,0.00681,0.05035,86827257.000000,118714356.000000
264,sobel_simd,1024,0.00682,0.00681,0.06006,86860172.000000,118725056.000000
265,sobel_simd,1024,0.00682,0.00681,0.04981,86809835.000000,118745832.000000
266,sobel_simd,1024,0.00692,0.00691,0.05768,87465476.000000,119030449.000000
267,sobel_simd,1024,0.00684,0.00683,0.05853,87144927.000000,118765050.000000
268,sobel_simd,1024,0.00683,0.00683,0.05994,87329227.000000,118797984.000000
269,sobel_simd,1024,0.00703,0.00702,0.05951,90574567.000000,119033975.000000
270,sobel_simd,1024,0.00684,0.00683,0.05963,87805451.000000,118669856.000000
271,sobel_simd,1024,0.0068,0.0068,0.05872,90106221.000000,118690152.000000
272,sobel_simd,1024,0.00686,0.00686,0.10071,91344865.000000,118778700.000000
273,sobel_simd,1024,0.00697,0.00696,0.06085,87951087.000000,119068917.000000
274,sobel_simd,1024,0.00687,0.00687,0.06079,88575126.000000,118800614.000000
275,sobel_simd,1024,0.00695,0.00694,0.06,88435889.000000,118876531.000000
276,sobel_simd,1024,0.00684,0.00683,0.06006,88058715.000000,118801278.000000
277,sobel_simd,1024,0.00682,0.00681,0.05939,86951915.000000,118748740.000000
278,sobel_simd,1024,0.00685,0.00685,0.0603,88975249.000000,118804645.000000
279,sobel_simd,1024,0.00689,0.00688,0.06024,89313483.000000,118766337.000000
280,sobel_simd,2048,0.02754,0.02754,0.2334,344032718.000000,464495906.000000
281,sobel_simd,2048,0.027,0.02699,0.2362,339194440.000000,463642899.000000
282,sobel_simd,2048,0.02745,0.02745,0.2406,340884402.000000,463619547.000000
283,sobel_simd,2048,0.02704,0.02703,0.2309,340004755.000000,463642601.000000
284,sobel_simd,2048,0.02086,0.02085,0.35718,342054178.000000,463511214.000000
285,sobel_simd,2048,0.02017,0.02016,0.36005,339135757.000000,463493565.000000
286,sobel_simd,2048,0.02038,0.02038,0.35016,342184221.000000,464236347.000000
287,sobel_simd,2048,0.0203,0.02028,0.35248,338423630.000000,463430481.000000
288,sobel_simd,2048,0.02064,0.02063,0.3642,367310768.000000,464580589.000000
289,sobel_simd,2048,0.02097,0.02097,0.37579,348940834.000000,464256590.000000
290,sobel_simd,2048,0.02038,0.02032,0.36774,339816458.000000,463467337.000000
291,sobel_simd,2048,0.02739,0.02738,0.2417,339388117.000000,463534617.000000
292,sobel_simd,2048,0.02704,0.02702,0.23669,339090418.000000,463570237.000000
293,sobel_simd,2048,0.02711,0.0271,0.28705,338934918.000000,463576819.000000
294,sobel_simd,2048,0.0272,0.02719,0.23584,341367533.000000,463573554.000000
295,sobel_simd,2048,0.02705,0.02704,0.22675,340551982.000000,463552752.000000
296,sobel_simd,2048,0.02729,0.02728,0.2522,341014979.000000,464942378.000000
297,sobel_simd,2048,0.02702,0.02701,0.23212,340155078.000000,463586236.000000
298,sobel_simd,2048,0.02716,0.02715,0.2309,339430572.000000,463525836.000000
299,sobel_simd,2048,0.02731,0.02712,0.23712,339322988.000000,463557426.000000
300,sobel_simd,4096,0.10753,0.1075,0.9154,1342588558.000000,1841925797.000000
301,sobel_simd,4096,0.1082,0.10818,0.94018,1350964811.000000,1842300455.000000
302,sobel_simd,4096,0.08231,0.08229,1.45245,1359390905.000000,1842879152.000000
303,sobel_simd,4096,0.08128,0.08127,1.43884,1346090310.000000,1839541140.000000
304,sobel_simd,4096,0.08512,0.08511,1.49456,1356044074.000000,1843451342.000000
305,sobel_simd,4096,0.10746,0.10741,0.9129,1337722235.000000,1840715891.000000
306,sobel_simd,4096,0.10765,0.10748,0.92614,1342907495.000000,1840250333.000000
307,sobel_simd,4096,0.10806,0.10803,0.9118,1351711998.000000,1840359927.000000
308,sobel_simd,4096,0.10789,0.10787,0.92346,1342327625.000000,1841100674.000000
309,sobel_simd,4096,0.08131,0.0813,1.43158,1344285966.000000,1840453599.000000
